Id,Label,timeset,clustering,triangles,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,eigencentrality
580,,,0.983664,312024,797,7389,2,0.960694,0.979543,10.160525,0.034484,0.034484,8,0.00067,0,0.969414
581,,,0.989633,308424,790,4649,2,0.952982,0.975331,4.797699,0.034287,0.034287,6,0.000488,0,0.963883
582,,,0.985517,321306,808,5033,2,0.973068,0.986161,7.059335,0.034993,0.034993,6,0.00052,0,0.983714
583,,,0.99692,280010,750,1900,2,0.911184,0.951264,1.20951,0.03268,0.03268,8,0.00031,0,0.918702
584,,,0.981348,326318,816,7965,2,0.98227,0.990975,10.478879,0.035265,0.035265,8,0.000715,0,0.991363
585,,,0.981341,323919,813,14139,2,0.978799,0.98917,10.946929,0.035134,0.035134,6,0.001114,0,0.98769
586,,,0.978524,329381,821,20547,2,0.988109,0.993983,12.10979,0.035431,0.035431,2,0.001525,0,0.996037
587,,,0.981123,323847,813,9422,2,0.978799,0.98917,11.076395,0.03513,0.03513,8,0.000808,0,0.987584
588,,,0.986833,302122,783,4204,2,0.945392,0.971119,6.872898,0.033936,0.033936,6,0.000463,0,0.954023
589,,,0.978759,322272,812,11212,2,0.977647,0.988568,12.905511,0.035046,0.035046,6,0.000919,0,0.985208
590,,,0.97066,331530,827,34605,2,0.99521,0.997593,20.209056,0.035547,0.035547,4,0.00243,0,0.999318
591,,,0.97308,330750,825,16834,2,0.992832,0.99639,18.411536,0.035505,0.035505,8,0.001294,0,0.998126
592,,,0.976339,329447,822,20753,2,0.989286,0.994585,14.671504,0.035435,0.035435,3,0.001541,0,0.996142
593,,,0.973732,330169,824,14274,2,0.991647,0.995788,18.133854,0.035474,0.035474,2,0.001127,0,0.997243
594,,,0.97428,329553,823,17151,2,0.990465,0.995187,17.963671,0.03544,0.03544,1,0.001307,0,0.996304
595,,,0.978269,328493,820,16164,2,0.986936,0.993381,12.689969,0.035382,0.035382,2,0.001242,0,0.994679
596,,,0.991681,285268,759,2116,2,0.920266,0.956679,3.587816,0.032976,0.032976,2,0.000324,0,0.927028
597,,,0.96897,331754,828,33336,2,0.996403,0.998195,22.928373,0.03556,0.03556,4,0.002344,0,0.999661
598,,,0.983666,319909,807,6825,2,0.97193,0.98556,9.362033,0.034916,0.034916,8,0.000637,0,0.981564
599,,,0.97988,320260,809,7742,2,0.974209,0.986763,12.722776,0.034936,0.034936,6,0.000692,0,0.982115
600,,,0.972216,329655,824,18842,2,0.991647,0.995788,20.228488,0.035446,0.035446,3,0.001411,0,0.996466
601,,,0.977674,329095,821,13485,2,0.988109,0.993983,13.074225,0.035415,0.035415,2,0.001071,0,0.9956
602,,,0.976244,329415,822,17728,2,0.989286,0.994585,14.871275,0.035433,0.035433,8,0.001349,0,0.996093
603,,,0.980503,326837,817,9375,2,0.983432,0.991576,10.852373,0.035293,0.035293,6,0.000804,0,0.992161
604,,,0.976354,329452,822,15598,2,0.989286,0.994585,14.647285,0.035435,0.035435,6,0.001209,0,0.99615
605,,,0.975367,324329,816,7453,2,0.98227,0.990975,17.691998,0.035157,0.035157,2,0.000677,0,0.988341
606,,,0.967498,331250,828,23748,2,0.996403,0.998195,38.681827,0.035532,0.035532,6,0.001747,0,0.998892
607,,,0.978625,329415,821,17315,2,0.988109,0.993983,11.867254,0.035433,0.035433,6,0.001322,0,0.996089
608,,,0.982911,253710,719,2006,2,0.88123,0.932611,32.802243,0.031095,0.031095,2,0.000324,0,0.874148
609,,,0.978553,327787,819,11817,2,0.985765,0.99278,12.563653,0.035344,0.035344,8,0.000971,0,0.993606
610,,,0.974823,330539,824,20852,2,0.991647,0.995788,15.605956,0.035494,0.035494,6,0.001551,0,0.997805
611,,,0.979473,327294,818,24233,2,0.984597,0.992178,11.829099,0.035318,0.035318,10,0.001755,0,0.992855
612,,,0.988466,301849,782,3508,2,0.944318,0.970517,5.715557,0.033921,0.033921,6,0.000415,0,0.953584
613,,,0.968029,331432,828,37197,2,0.996403,0.998195,28.281328,0.035542,0.035542,4,0.002586,0,0.999171
614,,,0.973628,330134,824,28456,2,0.991647,0.995788,17.512378,0.035472,0.035472,1,0.002039,0,0.99719
615,,,0.96897,331754,828,32721,2,0.996403,0.998195,22.928373,0.03556,0.03556,4,0.00231,0,0.999661
616,,,0.970081,331332,827,29706,2,0.99521,0.997593,24.814248,0.035537,0.035537,1,0.002122,0,0.999014
617,,,0.993677,294193,770,5654,2,0.931614,0.963297,3.266814,0.033489,0.033489,8,0.000554,0,0.941456
618,,,0.969305,331067,827,28681,2,0.99521,0.997593,26.975934,0.035522,0.035522,4,0.002036,0,0.998614
619,,,0.99734,182224,605,907,2,0.786187,0.864019,1.088374,0.026361,0.026361,2,0.000244,0,0.741054
620,,,0.977822,326742,818,11866,2,0.984597,0.992178,13.458189,0.035288,0.035288,8,0.000969,0,0.992025
621,,,0.980117,327509,818,9334,2,0.984597,0.992178,10.672928,0.035329,0.035329,6,0.000803,0,0.993185
622,,,0.972083,331213,826,18590,2,0.994019,0.996992,18.576495,0.03553,0.03553,2,0.001402,0,0.998833
623,,,0.978259,326089,817,9837,2,0.983432,0.991576,12.986242,0.035253,0.035253,8,0.000835,0,0.991028
624,,,0.975699,330033,823,18861,2,0.990465,0.995187,15.761199,0.035466,0.035466,2,0.001415,0,0.997034
625,,,0.985523,316551,802,3404,2,0.966279,0.982551,8.192109,0.034733,0.034733,6,0.000413,0,0.976418
626,,,0.995326,263391,728,2558,2,0.889722,0.938026,1.839364,0.031715,0.031715,6,0.00035,0,0.891576
627,,,0.978674,328629,820,17078,2,0.986936,0.993381,12.618175,0.03539,0.03539,2,0.001303,0,0.994887
628,,,0.990273,310189,792,5967,2,0.955172,0.976534,4.65111,0.034382,0.034382,8,0.000579,0,0.966553
629,,,0.969524,330341,826,19107,2,0.994019,0.996992,27.183368,0.035483,0.035483,2,0.001438,0,0.997509
630,,,0.988209,282772,757,2478,2,0.918232,0.955475,6.862602,0.032835,0.032835,2,0.000352,0,0.923064
631,,,0.981556,327990,818,15879,2,0.984597,0.992178,9.469255,0.035355,0.035355,6,0.001226,0,0.993909
632,,,0.97154,331028,826,24587,2,0.994019,0.996992,20.302052,0.03552,0.03552,8,0.001795,0,0.998556
633,,,0.973425,330065,824,14177,2,0.991647,0.995788,18.342712,0.035468,0.035468,8,0.001116,0,0.997089
634,,,0.982054,321765,810,10729,2,0.975352,0.987365,10.712004,0.035018,0.035018,8,0.000888,0,0.984417
635,,,0.973596,330123,824,14624,2,0.991647,0.995788,17.130433,0.035471,0.035471,2,0.001136,0,0.997171
636,,,0.995804,240153,695,1410,2,0.859359,0.918171,1.524084,0.030258,0.030258,8,0.000278,0,0.850619
637,,,0.981517,326374,816,12441,2,0.98227,0.990975,10.342864,0.035267,0.035267,8,0.001007,0,0.991442
638,,,0.97415,330311,824,20329,2,0.991647,0.995788,16.694823,0.035481,0.035481,8,0.001517,0,0.99746
639,,,0.976257,330222,823,23360,2,0.990465,0.995187,14.015014,0.035476,0.035476,2,0.001707,0,0.997315
640,,,0.993706,303449,782,4640,2,0.944318,0.970517,2.722019,0.034008,0.034008,6,0.000489,0,0.956025
641,,,0.968266,331513,828,33493,2,0.996403,0.998195,27.850351,0.035546,0.035546,4,0.002357,0,0.999292
